CustomerID,CustomerName,Email,PhoneNumber,SignupDate,Country,Status,Age,PreferredChannel,IsSubscribed
1000,Lindsey Parks,robertscourtney@yahoo.com,1985020447,2021-01-15,Germany,Banned,67,Phone,True
1001,Connie Beasley,rayian@carter.com,+1-437-566-8565x6956,2022-05-28,UK,Active,33,SMS,True
1002,John Johnson,amandajohnson@davis.info,076.717.9068,2021-08-03,Canada,Active,31,Phone,True
1003,Michael Brown,amandajones@murphy-johnson.com,001-634-683-4800x582,2022-09-04,India,Inactive,69,Phone,True
1004,Elizabeth White,kellylisa@hammond.com,585.950.3951x897,2020-07-01,USA,Inactive,24,SMS,False
1005,Alex Miller,jeremy25@cameron.com,635.138.7254,2021-12-01,USA,Inactive,55,Email,True
1006,Bradley Berg,ucooley@gmail.com,+1-007-174-1160x6639,2022-12-11,UK,Inactive,26,Email,False
1007,Tanner Taylor,jamesrangel@gonzalez.com,+1-601-054-4902x211,2024-04-18,UK,Active,68,Phone,False
1008,Melissa Chandler,mary80@horton.com,(816)703-9432,2024-08-06,UK,Active,48,Phone,False
1009,Samantha Garcia,lisadavis@key-nelson.biz,001-261-620-8065x694,2020-11-13,Germany,Inactive,66,Phone,True
1010,Abigail Lang,patricia53@gmail.com,+1-758-853-5317x9315,2021-11-17,Canada,Inactive,28,Phone,False
1011,Rebecca Nelson,mary44@hotmail.com,001-665-473-6369x714,2023-01-01,Canada,Inactive,57,App,True
1012,Selena Blackwell,jasonmorales@sanders-harris.com,516-847-4625,2022-05-14,UK,Inactive,29,SMS,True
1013,Michele Pennington,tgreen@johnson-castro.com,+1-346-483-0919x37837,2020-07-24,Germany,Inactive,63,Phone,True
1014,Steven Glenn,grosspamela@gmail.com,+1-564-311-2010x6488,2023-01-14,USA,Active,72,SMS,False
1015,Stephanie Evans,thompsongabriel@foster.info,(958)953-4585,2020-08-11,India,Inactive,56,SMS,False
1016,Colleen Hill,lindahardin@chase-nichols.com,887.073.1390x95480,2023-07-15,Germany,Active,33,SMS,True
1017,Brandon Jones,kimberlywebb@gmail.com,(454)863-8573x59405,2023-07-02,India,Inactive,26,SMS,False
1018,Stephen Bender,smalldavid@gmail.com,473.116.5174x450,2023-09-29,USA,Banned,49,Phone,False
1019,Linda Rhodes,jamesrhodes@green.com,096.176.2425x35870,2024-02-29,India,Inactive,74,Phone,True
1020,David Burke,susanwood@yahoo.com,001-711-469-3564x305,2021-12-20,India,Inactive,60,SMS,False
1021,James Jenkins,amanda17@yahoo.com,(930)888-3674,2021-03-18,Germany,Active,69,App,True
1022,Nicole Rodriguez,rleonard@brooks.com,766.035.5722,2020-11-18,Canada,Inactive,69,App,True
1023,Sydney Jordan,codysalinas@hotmail.com,001-288-928-6281,2024-10-18,UK,Active,37,SMS,True
1024,Erin Vargas,jennifer63@gmail.com,600.800.3535x533,2024-07-30,Germany,Banned,70,App,True
1025,Vincent Watts,christina80@martinez-vega.com,3082869098,2022-03-25,USA,Active,34,App,False
1026,Deborah Murphy,amy78@yahoo.com,001-038-679-5018x6530,2023-04-27,UK,Banned,31,App,False
1027,Tracy Sandoval,bruceelizabeth@yahoo.com,368-002-5305,2023-10-15,Canada,Active,44,Phone,False
1028,Steven Ball,mooreblake@hotmail.com,001-481-125-7322x85886,2022-02-06,USA,Banned,34,Phone,False
1029,Stephen Carrillo,rroth@ball.com,(382)387-9036,2022-01-14,UK,Banned,67,Email,True
